variable_name_messy,Overall,High,Low,p,test,variable_name,voc_name,variable_name_old,mw,category_1,category_2,category_2no,sort_in_category
benzene (median [IQR]),"1.38 [0.79, 1.61]","1.41 [0.84, 1.81]","1.32 [0.75, 1.59]",0.451,nonnorm,benzene,Benzene,benzene,78.11,BTEX,BTEX,1,1
toluene (median [IQR]),"2.05 [1.48, 2.70]","2.04 [1.65, 2.57]","2.17 [1.28, 2.92]",0.698,nonnorm,toluene,Toluene,toluene,92.14,BTEX,BTEX,1,2
ethylbenzene (median [IQR]),"0.52 [0.39, 0.64]","0.53 [0.44, 0.58]","0.46 [0.36, 0.76]",0.723,nonnorm,ethylbenzene,Ethylbenzene,etbenz,106.17,BTEX,BTEX,1,3
m_p_xylene_2 (median [IQR]),"2.96 [2.31, 4.25]","3.10 [2.51, 3.77]","2.88 [1.95, 4.95]",0.894,nonnorm,m_p_xylene_2,(m+p)-Xylenes,mpxylene,106.16,BTEX,BTEX,1,4
o_xylene (median [IQR]),"0.71 [0.55, 0.93]","0.72 [0.62, 0.80]","0.63 [0.52, 1.03]",0.626,nonnorm,o_xylene,o-Xylene,oxylene,106.16,BTEX,BTEX,1,5
xylenes (median [IQR]),"3.66 [2.82, 5.18]","3.80 [3.18, 4.57]","3.50 [2.44, 5.98]",0.807,nonnorm,xylenes,Total Xylenes,xylenes,106.16,BTEX,BTEX,1,6
benzene_1_4_diethyl (median [IQR]),"0.10 [0.07, 0.13]","0.10 [0.07, 0.12]","0.09 [0.07, 0.15]",0.484,nonnorm,benzene_1_4_diethyl,"1,4-Diethylbenzene",benzene_1_4_diethyl,134.221,Benzene Derivatives,Alkylbenzenes,2,1
benzene_1_2_3_trimethyl (median [IQR]),"0.15 [0.11, 0.19]","0.15 [0.12, 0.18]","0.15 [0.12, 0.21]",0.626,nonnorm,benzene_1_2_3_trimethyl,"1,2,3-Trimethylbenzene",benzene_1_2_3_trimethyl,120.194,Benzene Derivatives,Alkylbenzenes,2,2
benzene_1_ethyl_2_methyl (median [IQR]),"0.13 [0.09, 0.15]","0.13 [0.10, 0.15]","0.13 [0.09, 0.17]",0.765,nonnorm,benzene_1_ethyl_2_methyl,1-Ethyl-2-Methylbenzene,benz1ethyl2methyl,120.19,Benzene Derivatives,Alkylbenzenes,2,3
benzene_1_ethyl_3_methyl (median [IQR]),"0.33 [0.26, 0.40]","0.33 [0.27, 0.38]","0.32 [0.24, 0.44]",0.973,nonnorm,benzene_1_ethyl_3_methyl,1-Ethyl-3-Methylbenzene,benz1ethyl3methyl,120.19,Benzene Derivatives,Alkylbenzenes,2,4
benzene_1_ethyl_4_methyl (median [IQR]),"0.15 [0.11, 0.19]","0.15 [0.12, 0.18]","0.15 [0.11, 0.20]",0.982,nonnorm,benzene_1_ethyl_4_methyl,1-Ethyl-4-Methylbenzene,benz1ethyl4methyl,120.19,Benzene Derivatives,Alkylbenzenes,2,5
benzene_propyl (median [IQR]),"0.18 [0.15, 0.21]","0.16 [0.14, 0.21]","0.18 [0.15, 0.22]",0.499,nonnorm,benzene_propyl,Propylbenzene,propylbenzene,120.19,Benzene Derivatives,Alkylbenzenes,2,6
mesitylene (median [IQR]),"0.36 [0.28, 0.45]","0.36 [0.33, 0.41]","0.37 [0.28, 0.50]",0.842,nonnorm,mesitylene,Mesitylene,mesitylene,120.19,Benzene Derivatives,Alkylbenzenes,2,7
n_hexane (median [IQR]),"1.07 [0.55, 1.44]","1.12 [0.56, 1.40]","1.04 [0.60, 1.54]",0.773,nonnorm,n_hexane,n-Hexane,hexane,86.18,Alkanes,C6-C9 Alkanes,3,1
heptane (median [IQR]),"0.78 [0.51, 1.02]","0.78 [0.54, 1.00]","0.77 [0.51, 1.08]",0.731,nonnorm,heptane,Heptane,heptane,100.21,Alkanes,C6-C9 Alkanes,3,2
octane (median [IQR]),"0.32 [0.20, 0.48]","0.34 [0.22, 0.46]","0.29 [0.20, 0.47]",0.618,nonnorm,octane,Octane,octane,114.23,Alkanes,C6-C9 Alkanes,3,3
nonane (median [IQR]),"0.48 [0.26, 0.69]","0.56 [0.27, 0.71]","0.44 [0.27, 0.64]",0.587,nonnorm,nonane,Nonane,nonane,128.25,Alkanes,C6-C9 Alkanes,3,4
decane (median [IQR]),"0.41 [0.35, 0.52]","0.39 [0.29, 0.46]","0.44 [0.36, 0.52]",0.381,nonnorm,decane,Decane,decane,149.29,Alkanes,C10-C12 Alkanes,4,1
undecane (median [IQR]),"0.44 [0.37, 0.68]","0.42 [0.36, 0.65]","0.48 [0.38, 0.71]",0.650,nonnorm,undecane,Undecane,undecane,156.31,Alkanes,C10-C12 Alkanes,4,2
